name,platform,r-date,score,user score,developer,genre,players,critics,users,Goty,year
LittleBigPlanet,PlayStation3,"October 27, 2008",95,6.8,"SCE/WWS,MediaMolecule","Action,Platformer,Platformer,3D,2D,3D",Up to 4,85,5533,0,2008
The Legend of Zelda Collector's Edition,GameCube,"November 17, 2003",95,9,Nintendo,"Action Adventure,Fantasy",1 Player,8,194,0,2003
Red Dead Redemption,PlayStation3,"May 18, 2010",95,8.9,RockstarSanDiego,"Action,Shooter,Third-Person,Historic,Action Adventure,Historic,Historic,Open-World",Up to 16,73,3371,0,2010
Gran Turismo 3: A-Spec,PlayStation2,"July 9, 2001",95,8.4,PolyphonyDigital,"Driving,Racing,GT / Street",1-2,54,386,0,2001
Halo 2,Xbox,"November 9, 2004",95,8.4,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",1-16,91,1656,0,2004
The Legend of Zelda: A Link to the Past,GameBoyAdvance,"December 3, 2002",95,9,Capcom,"Action Adventure,Fantasy",No info,30,524,0,2002
The Legend of Zelda: Majora's Mask,Nintendo64,"October 25, 2000",95,9.2,Nintendo,"Action Adventure,Fantasy",1 Player,27,1198,0,2000
The Last of Us,PlayStation3,"June 14, 2013",95,9.2,NaughtyDog,"Modern,Adventure,General,Action Adventure,General,Modern",Up to 8,98,11982,1,2013
The Legend of Zelda: Twilight Princess,Wii,"November 19, 2006",95,8.9,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,73,2060,0,2006
Madden NFL 2003,PlayStation2,"August 12, 2002",95,7.5,EASports,"Sports,Traditional,Football,Sim",1-2,25,66,0,2002
Tony Hawk's Pro Skater 2,GameBoyAdvance,"May 30, 2001",95,6.8,VicariousVisions,"Sports,Alternative,Skateboarding",No info,16,38,0,2001
Persona 5 Royal,PlayStation4,"March 31, 2020",95,8.2,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer,71,2593,0,2020
The Last of Us Remastered,PlayStation4,"July 29, 2014",95,9.2,NaughtyDog,"Action Adventure,General,Modern",Up to 8,70,14563,0,2014
Portal 2,PC,"April 18, 2011",95,9.1,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,52,7482,0,2011
Red Dead Redemption,Xbox360,"May 18, 2010",95,9,RockstarSanDiego,"Action,Action Adventure,Shooter,Historic,Historic,Open-World,Third-Person,Historic",Up to 16,96,2847,0,2010
Portal 2,Xbox360,"April 19, 2011",95,8.7,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2,66,1073,0,2011
Metal Gear Solid V: The Phantom Pain,XboxOne,"September 1, 2015",95,7.4,"KojimaProductions,MobyDickStudio","Modern,Modern,Action Adventure,Open-World",Up to 16,10,1173,0,2015
Portal 2,PlayStation3,"April 19, 2011",95,8.5,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",2,54,1030,0,2011
World of Goo,Wii,"October 13, 2008",94,8.7,2DBoy,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General",1-4,21,378,0,2008
The Elder Scrolls V: Skyrim,PC,"November 10, 2011",94,8.3,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,32,11301,0,2011
BioShock Infinite,PlayStation3,"March 26, 2013",94,8.5,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,27,2207,0,2013
Final Fantasy IX,PlayStation,"November 13, 2000",94,9,SquareSoft,"Role-Playing,Console-style RPG",1 Player,22,1280,0,2000
Call of Duty: Modern Warfare 2,PlayStation3,"November 10, 2009",94,6.6,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18,67,2362,0,2009
God of War,PlayStation4,"April 20, 2018",94,9.2,SCESantaMonica,"Action Adventure,Linear",No Online Multiplayer,118,16298,1,2018
Tony Hawk's Pro Skater 4,PlayStation2,"October 23, 2002",94,8.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-8,27,182,0,2002
Devil May Cry,PlayStation2,"October 16, 2001",94,8.6,Capcom,"Action Adventure,Fantasy",1 Player,37,790,0,2001
Call of Duty 4: Modern Warfare,PlayStation3,"November 5, 2007",94,8.4,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18,44,1170,0,2007
Madden NFL 2002,PlayStation2,"August 19, 2001",94,7.3,EASports,"Sports,Traditional,Football,Sim",1-8,23,49,0,2001
Batman: Arkham City,Xbox360,"October 18, 2011",94,8.7,RocksteadyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,87,1682,0,2011
Mass Effect 2,PC,"January 26, 2010",94,8.9,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,55,4972,0,2010
The Legend of Zelda: Ocarina of Time 3D,3DS,"June 19, 2011",94,9,GREZZO,"Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World",No Online Multiplayer,85,1625,0,2011
Chrono Cross,PlayStation,"August 15, 2000",94,8.8,SquareSoft,"Role-Playing,Console-style RPG",1 Player,16,412,0,2000
Celeste,XboxOne,"January 26, 2018",94,7.1,MattMakesGamesInc.,"Action,Platformer,2D",No Online Multiplayer,10,268,0,2018
BioShock,PlayStation3,"October 21, 2007",94,8.8,"DigitalExtremes,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,51,1136,0,2007
Mass Effect 2,PlayStation3,"January 17, 2011",94,8.6,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,62,1243,0,2011
Grand Theft Auto: Vice City,PC,"May 12, 2003",94,8.8,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,30,2435,0,2003
Madden NFL 2004,PlayStation2,"August 12, 2003",94,8.2,EATiburon,"Sports,Traditional,Football,Sim",1-8,29,147,0,2003
Gears of War,Xbox360,"November 7, 2006",94,8.3,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",8  Online,88,2653,0,2006
The Elder Scrolls IV: Oblivion,Xbox360,"March 20, 2006",94,8.7,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,90,1257,1,2006
Sid Meier's Civilization II,PC,"February 29, 1996",94,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",1 Player,7,450,0,1996
Quake,PC,"June 22, 1996",94,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-16,9,813,0,1996
Call of Duty 4: Modern Warfare,Xbox360,"November 5, 2007",94,8.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18,70,1467,0,2007
BioShock Infinite,PC,"March 25, 2013",94,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,68,8729,0,2013
Halo 3,Xbox360,"September 25, 2007",94,8,"BungieSoftware,Bungie","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-4,86,4729,0,2007
Ninja Gaiden Black,Xbox,"September 20, 2005",94,8.8,TeamNinja,"Action Adventure,Fantasy",1 Player,32,177,0,2005
The Elder Scrolls IV: Oblivion,PC,"March 20, 2006",94,8.1,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,54,3069,0,2006
Street Fighter IV,PlayStation3,"February 17, 2009",94,7.4,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2  Online,61,391,0,2009
Super Mario Advance 4: Super Mario Bros. 3,GameBoyAdvance,"October 21, 2003",94,8.9,Nintendo,"Action,Platformer,2D",1-4,25,203,0,2003
Jet Grind Radio,Dreamcast,"October 30, 2000",94,8.1,Smilebit,"Action,Platformer,3D",No info,24,89,0,2000
Metal Gear Solid,PlayStation,"October 21, 1998",94,9.2,KCEJ,"Action Adventure,Modern",1 Player,20,1584,0,1998
Grim Fandango,PC,"October 14, 1998",94,9.1,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",No Online Multiplayer,15,685,0,1998
Tom Clancy's Splinter Cell Chaos Theory,Xbox,"March 28, 2005",94,9,UbisoftMontreal,"Action Adventure,Modern",4  Online,70,218,0,2005
Burnout 3: Takedown,Xbox,"September 7, 2004",94,7.7,CriterionGames,"Driving,Racing,Arcade",8  Online,76,182,0,2004
Diablo,PC,"December 31, 1996",94,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",Up to 4,12,1161,0,1996
Metal Gear Solid 3: Subsistence,PlayStation2,"March 14, 2006",94,9.1,Aspect,"Action Adventure,Modern",8  Online,53,657,0,2006
Call of Duty: Modern Warfare 2,Xbox360,"November 10, 2009",94,6.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18,100,2957,0,2009
Metal Gear Solid 4: Guns of the Patriots,PlayStation3,"June 12, 2008",94,8.8,KojimaProductions,"Action Adventure,Modern,General,Modern",Up to 16,82,4088,0,2008
NCAA Football 2004,PlayStation2,"July 16, 2003",94,8.3,EASports,"Sports,Traditional,Football,Sim",1-8,15,86,0,2003
God of War,PlayStation2,"March 22, 2005",94,8.9,SCESantaMonica,"Action Adventure,Fantasy",1 Player,75,1679,0,2005
Star Wars: Knights of the Old Republic,Xbox,"July 17, 2003",94,9.1,BioWare,"Role-Playing,Third-Person",1 Player,72,409,1,2003
Sid Meier's Civilization IV,PC,"October 25, 2005",94,8.3,FiraxisGames,"Strategy,Turn-Based,Historic,Historic,4X",Online Multiplayer,50,1070,0,2005
Madden NFL 2004,GameCube,"August 12, 2003",94,7.1,EATiburon,"Sports,Traditional,Football,Sim",1-4,19,25,0,2003
Virtua Fighter 4,PlayStation2,"March 17, 2002",94,8.1,SegaAM2,"Action,Fighting,3D",1-2,36,95,0,2002
Super Mario 64,Nintendo64,"September 26, 1996",94,9.2,Nintendo,"Action,Platformer,3D",1 Player,13,1274,0,1996
The Witcher 3: Wild Hunt,PC,"May 18, 2015",93,9.4,CDProjektRedStudio,"Action RPG,Role-Playing,Action RPG",No Online Multiplayer,32,17537,1,2015
Burnout 3: Takedown,PlayStation2,"September 7, 2004",93,9,CriterionGames,"Driving,Racing,Arcade",1-16,52,385,0,2004
Super Smash Bros. Brawl,Wii,"March 9, 2008",93,8.8,GameArts,"Action,Fighting,Fighting,3D,2D,3D",Up to 4,81,2022,0,2008
Company of Heroes,PC,"September 13, 2006",93,8.8,Relic,"Strategy,Real-Time,Historic,General,Historic",8  Online,55,1336,0,2006
Gran Turismo 2,PlayStation,"November 30, 1999",93,9,PolyphonyDigital,"Driving,Racing,GT / Street",1-2,23,246,0,1999
The Last of Us Part II,PlayStation4,"June 19, 2020",93,5.7,NaughtyDog,"General,Action Adventure,Survival",No Online Multiplayer,121,146262,0,2020
Tom Clancy's Splinter Cell Pandora Tomorrow,Xbox,"March 23, 2004",93,8.6,UbisoftShanghai,"Action Adventure,Modern",1-4,74,95,0,2004
Grand Theft Auto: Chinatown Wars,DS,"March 17, 2009",93,8.3,RockstarLeeds,"Action Adventure,Modern,Modern,Open-World",No info,85,334,0,2009
Divinity: Original Sin II - Definitive Edition,Switch,"September 4, 2019",93,8.6,"LarianStudiosGames,BlitWorks,TheDragonCommanders","Role-Playing,Western-Style",Up to 4,17,279,0,2019
Pac-Man Championship Edition DX,Xbox360,"November 17, 2010",93,7.6,NamcoBandaiGames,"Adventure,General,Action,General,General,Arcade",No info,43,140,0,2010
Street Fighter Alpha 3,PlayStation,"April 30, 1999",93,8.5,Capcom,"Action,Fighting,2D",1-2,12,88,0,1999
Tony Hawk's Pro Skater 3,Xbox,"March 4, 2002",93,7.6,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-4,22,21,0,2002
Hades,Switch,"September 17, 2020",93,9.1,SupergiantGames,"Action Adventure,General,Linear",No Online Multiplayer,42,210,0,2020
Half-Life: Alyx,PC,"March 23, 2020",93,9.1,ValveSoftware,"Action,First-Person,Shooter,Arcade",No Online Multiplayer,68,2104,0,2020
Divinity: Original Sin II,PC,"September 14, 2017",93,8.8,LarianStudiosGames,"Action RPG,Role-Playing,Western-Style",Up to 4,72,1946,0,2017
Unreal Tournament 2004,PC,"March 16, 2004",93,8.8,EpicGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",1-32,48,719,0,2004
BioShock Infinite,Xbox360,"March 26, 2013",93,8.6,IrrationalGames,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,33,1814,0,2013
Braid,Xbox360,"August 6, 2008",93,8.5,NumberNoneInc.,"Action,Platformer,Platformer,2D,2D",1 Player,57,464,0,2008
God of War II,PlayStation2,"March 13, 2007",93,8.9,SCESantaMonica,"Action Adventure,Fantasy",1 Player,70,1215,0,2007
Super Mario 3D World,WiiU,"November 22, 2013",93,8.9,Nintendo,"Platformer,3D,Action,Platformer,3D",No Online Multiplayer,83,2001,0,2013
Ori and the Will of the Wisps,Switch,"September 17, 2020",93,8.9,MoonStudios,"Action,Platformer,2D",No Online Multiplayer,20,145,0,2020
Starcraft II: Wings of Liberty,PC,"July 27, 2010",93,8.3,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Command",Up to 4,82,3477,0,2010
SSX,PlayStation2,"October 30, 2000",93,8.2,EASportsBig,"Sports,Alternative,Snowboarding",1-2,35,55,0,2000
Street Fighter IV,Xbox360,"February 17, 2009",93,7.3,Capcom,"Action,Fighting,Fighting,3D,2D,3D",2  Online,77,322,0,2009
Minecraft,PC,"November 18, 2011",93,7.9,MojangAB,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy",Up to 10,33,5818,0,2011
Undertale,Switch,"September 18, 2018",93,8,"tobyfox,8-4","Role-Playing,Japanese-Style",No Online Multiplayer,8,353,0,2018
Persona 4 Golden,PlayStationVita,"November 20, 2012",93,8.6,Atlus,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",Up to 40,61,1700,0,2012
Persona 5,PlayStation4,"April 4, 2017",93,8.7,Atlus,"Role-Playing,Japanese-Style",No Online Multiplayer,98,4717,0,2017
Red Dead Redemption 2,PC,"November 5, 2019",93,5.5,RockstarGames,"Action Adventure,Open-World",Up to 32,44,3546,0,2019
SSX 3,PlayStation2,"October 20, 2003",93,8.8,EACanada,"Sports,Alternative,Snowboarding",1-2,41,178,0,2003
Tom Clancy's Splinter Cell,Xbox,"November 17, 2002",93,8.6,UbisoftMontreal,"Action Adventure,Modern",1 Player,46,142,0,2002
Grand Theft Auto III,PC,"May 20, 2002",93,8.3,"DMADesign,RockstarNorth","Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,20,1254,0,2002
Quake III Arena,Dreamcast,"October 22, 2000",93,8.3,Raster,"Action,Shooter,First-Person,Sci-Fi",No info,25,75,0,2000
Homeworld,PC,"August 31, 1999",93,8.8,Relic,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",1-8,20,383,0,1999
Okami,PlayStation2,"September 19, 2006",93,9.1,CloverStudio,"Action Adventure,Fantasy",1 Player,69,470,0,2006
The Elder Scrolls IV: Oblivion,PlayStation3,"March 20, 2007",93,8.1,4JStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,45,672,0,2007
Fallout 3,Xbox360,"October 28, 2008",93,8.5,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,84,1855,0,2008
Gears of War 2,Xbox360,"November 7, 2008",93,7.8,EpicGames,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade",1-2,90,3060,0,2008
SoulCalibur II,GameCube,"August 27, 2003",93,8.9,Namco,"Action,Fighting,3D",1-2,45,185,0,2003
World Soccer Winning Eleven 6 International,PlayStation2,"March 11, 2003",93,8.3,KCET,"Sports,Traditional,Soccer,Sim",1-8,24,78,0,2003
NFL 2K3,PlayStation2,"August 12, 2002",93,7.3,VisualConcepts,"Sports,Traditional,Football,Sim",1-2,20,26,0,2002
Mass Effect 3,Xbox360,"March 6, 2012",93,5.9,BioWare,"Role-Playing,Action RPG,Action RPG",Up to 4,74,3740,0,2012
Metal Gear Solid V: The Phantom Pain,PlayStation4,"September 1, 2015",93,8.2,"KojimaProductions,MobyDickStudio","Modern,Action Adventure,Modern,Open-World",Up to 16,86,5583,0,2015
Skies of Arcadia,Dreamcast,"November 13, 2000",93,8.9,Overworks,"Role-Playing,Console-style RPG",No info,21,125,0,2000
The Legend of Zelda: Skyward Sword,Wii,"November 20, 2011",93,8.1,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,81,2401,0,2011
Mario Kart Super Circuit,GameBoyAdvance,"August 26, 2001",93,7.9,IntelligentSystems,"Driving,Racing,Kart",1-4,24,190,0,2001
Rock Band 3,Xbox360,"October 26, 2010",93,8,HarmonixMusicSystems,"Action,Miscellaneous,Rhythm,Music,Music",No info,57,148,0,2010
Viewtiful Joe,GameCube,"October 7, 2003",93,8.3,CloverStudio,"Action,Beat-'Em-Up",1 Player,52,138,0,2003
Test Drive Le Mans,Dreamcast,"November 13, 2000",93,8.2,MelbourneHouse,"Driving,Racing,GT / Street",No info,18,21,0,2000
NBA 2K1,Dreamcast,"November 1, 2000",93,7.1,VisualConcepts,"Sports,Traditional,Basketball,Sim",No info,19,19,0,2000
Castlevania: Symphony of the Night,PlayStation,"October 2, 1997",93,9.2,Konami,"Action,Platformer,2D",1 Player,12,664,0,1997
Star Wars: Knights of the Old Republic,PC,"November 18, 2003",93,9,BioWare,"Role-Playing,Third-Person,Third-Person,General",No Online Multiplayer,33,2007,0,2003
Virtua Fighter 4: Evolution,PlayStation2,"August 13, 2003",93,8.6,Sega,"Action,Fighting,3D",1-2,30,65,0,2003
Uncharted 4: A Thief's End,PlayStation4,"May 10, 2016",93,8.5,NaughtyDog,"General,Modern,Action Adventure,Linear",Up to 10,113,12333,0,2016
Super Smash Bros. Ultimate,Switch,"December 7, 2018",93,8.6,"Nintendo,HALLabs,BandaiNamcoGames,SoraLtd.","Action,Fighting,2D",Up to 8,99,2819,0,2018
Braid,PlayStation3,"November 12, 2009",93,7.8,"HotheadGames,NumberNoneInc.","Action,Platformer,Platformer,2D,2D",1 Player,20,234,0,2009
Mass Effect 3,PlayStation3,"March 5, 2012",93,5.7,BioWare,"Role-Playing,Action RPG,Action RPG",Up to 4,30,1942,0,2012
Paper Mario,Nintendo64,"February 5, 2001",93,9.1,IntelligentSystems,"Role-Playing,Console-style RPG",No info,15,420,0,2001
Wipeout XL,PlayStation,"September 30, 1996",93,8.6,Psygnosis,"Driving,Racing,Futuristic",1-2,8,40,0,1996
Grand Theft Auto: San Andreas,Xbox,"June 7, 2005",93,8.7,RockstarNorth,"Action Adventure,Modern",1-2,58,165,0,2005
Resident Evil 2,XboxOne,"January 25, 2019",93,8.6,CapcomR&DDivision1,"Action Adventure,Survival",No Online Multiplayer,27,896,0,2019
INSIDE,XboxOne,"June 29, 2016",93,8.3,PLAYDEAD,"Action,Platformer,2D",No info,87,662,0,2016
World of Warcraft,PC,"November 23, 2004",93,7.4,BlizzardEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",Massively Multiplayer,57,2934,0,2004
Grand Theft Auto: San Andreas,PC,"June 7, 2005",93,8.9,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",No Online Multiplayer,47,3074,0,2005
Flipnote Studio,DS,"August 12, 2009",93,7.5,Nintendo,"Miscellaneous,General,Application",No info,7,62,0,2009
World Soccer Winning Eleven 7 International,PlayStation2,"February 17, 2004",93,8.3,KCET,"Sports,Traditional,Soccer,Sim",1-8,28,57,0,2004
NBA 2K2,Dreamcast,"October 24, 2001",93,7.3,VisualConcepts,"Sports,Traditional,Basketball,Sim",No info,12,22,0,2001
SoulCalibur II,PlayStation2,"August 27, 2003",92,8.7,Namco,"Action,Fighting,3D",1-2,41,161,0,2003
The Elder Scrolls V: Skyrim,PlayStation3,"November 11, 2011",92,6.6,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,16,2704,0,2011
Hades,PC,"September 17, 2020",92,9,SupergiantGames,"Action Adventure,General,Linear",No Online Multiplayer,50,335,0,2020
Prince of Persia: The Sands of Time,Xbox,"November 12, 2003",92,7.8,Ubisoft,"Action Adventure,Fantasy",1 Player,41,87,0,2003
Call of Duty 4: Modern Warfare,PC,"November 5, 2007",92,8.5,InfinityWard,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",Up to 18,40,3197,0,2007
